path	area	owner	lines	title	topic_keywords
.hermes/skill-packs/corp-web-app/skills/software-development/corp-web-app-contact-us-stage-e2e/references/pr-624-e2e-revival.md	inactive-pack	.hermes/skill-packs/corp-web-app/skills/software-development/corp-web-app-contact-us-stage-e2e/SKILL.md	47	PR #624 E2E revival notes	github-pr-ci,pr-body-safety,browser-render-parity,corp-web-app,memory-context,examples
.hermes/skill-packs/corp-web-app/skills/software-development/corp-web-app-contact-us-stage-e2e/references/stage-e2e-playwright-system-deps.md	inactive-pack	.hermes/skill-packs/corp-web-app/skills/software-development/corp-web-app-contact-us-stage-e2e/SKILL.md	66	Stage E2E Playwright system dependency failure	github-pr-ci,mlops-structured-generation,browser-render-parity,corp-web-app,troubleshooting
.hermes/skill-packs/corp-web-app/skills/software-development/corp-web-app-contact-us-stage-e2e/references/vercel-protection-bypass-for-automation.md	inactive-pack	.hermes/skill-packs/corp-web-app/skills/software-development/corp-web-app-contact-us-stage-e2e/SKILL.md	100	Vercel Protection Bypass for Automation for corp-web-app stage E2E	github-pr-ci,creative-rendering,browser-render-parity,corp-web-app,memory-context,troubleshooting
.hermes/skill-packs/corp-web-app/skills/software-development/corp-web-app-contact-us-static-route-authoring/references/pr-706-root-contact-us-route-redirect.md	inactive-pack	.hermes/skill-packs/corp-web-app/skills/software-development/corp-web-app-contact-us-static-route-authoring/SKILL.md	65	PR 706 root contact-us redirect follow-up	github-pr-ci,creative-rendering,browser-render-parity,corp-web-app
.hermes/skill-packs/corp-web-app/skills/software-development/corp-web-app-content-unification-planning/references/content-unification-decisions-2026-05-15.md	inactive-pack	.hermes/skill-packs/corp-web-app/skills/software-development/corp-web-app-content-unification-planning/SKILL.md	48	corp-web-app content-unification decisions — 2026-05-15	git-worktree-cleanup,github-pr-ci,mlops-structured-generation,corp-web-app,corp-web-japan,memory-context,examples
.hermes/skill-packs/corp-web-app/skills/software-development/corp-web-app-internal-route-authoring/references/internal-mdx-repo-local-migration.md	inactive-pack	.hermes/skill-packs/corp-web-app/skills/software-development/corp-web-app-internal-route-authoring/SKILL.md	56	Internal MDX repo-local migration note	git-worktree-cleanup,github-pr-ci,creative-rendering,corp-web-app,memory-context,troubleshooting,examples
.hermes/skill-packs/corp-web-app/skills/software-development/corp-web-app-internal-route-authoring/references/publication-translation-coverage-endpoints.md	inactive-pack	.hermes/skill-packs/corp-web-app/skills/software-development/corp-web-app-internal-route-authoring/SKILL.md	46	Publication Translation Coverage Endpoints	git-worktree-cleanup,github-pr-ci,corp-web-app,memory-context,troubleshooting
.hermes/skill-packs/corp-web-app/skills/software-development/corp-web-app-internal-route-authoring/references/translation-coverage-internalization.md	inactive-pack	.hermes/skill-packs/corp-web-app/skills/software-development/corp-web-app-internal-route-authoring/SKILL.md	137	Translation coverage internalization example	git-worktree-cleanup,github-pr-ci,mlops-training-inference,corp-web-app,memory-context,troubleshooting,examples
.hermes/skill-packs/corp-web-app/skills/software-development/corp-web-app-internal-route-authoring/references/translation-coverage-layout-spacing.md	inactive-pack	.hermes/skill-packs/corp-web-app/skills/software-development/corp-web-app-internal-route-authoring/SKILL.md	30	Translation coverage layout spacing follow-up	github-pr-ci,pr-body-safety,creative-rendering,browser-render-parity,corp-web-app,memory-context,examples
.hermes/skill-packs/corp-web-app/skills/software-development/corp-web-app-layout-data-localization/references/footer-preview-internal-menu-mobile-nav.md	inactive-pack	.hermes/skill-packs/corp-web-app/skills/software-development/corp-web-app-layout-data-localization/SKILL.md	85	Footer preview Internal menu mobile nav regression	github-pr-ci,pr-body-safety,creative-rendering,corp-web-app,troubleshooting
